,Age_x,G_x,MP_x,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS_x,WS/48_x,Pos,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,OBPM,DBPM,BPM,VORP,Share
0,21,82,38.0,22.5,12.1,3.8,0.8,0.5,0.506,0.292,0.642,9.8,0.152,PF,21.9,0.549,0.017,0.505,10.2,26.9,18.6,18.7,1.0,1.1,11.7,27.3,6.5,3.4,2.2,0.9,3.2,4.0,1.0
1,20,69,37.8,16.4,4.6,8.3,1.8,0.5,0.409,0.296,0.766,2.2,0.041,PG,15.8,0.494,0.118,0.404,1.5,12.8,6.9,36.0,2.4,1.0,18.6,23.8,0.3,1.9,0.0,-0.2,-0.2,1.2,0.5
2,20,81,28.5,14.1,8.6,2.5,1.0,0.8,0.43,0.167,0.687,1.1,0.022,C,14.6,0.484,0.018,0.4,10.4,24.4,17.2,14.7,1.9,2.1,18.5,27.2,-1.9,2.9,-2.9,1.5,-1.4,0.4,0.137
3,22,82,31.0,9.7,6.4,1.9,1.0,0.2,0.497,0.393,0.769,5.3,0.1,SG,13.5,0.598,0.364,0.244,4.7,18.9,11.7,9.0,1.6,0.5,13.8,13.5,3.4,1.8,0.5,0.1,0.6,1.7,0.105
4,26,80,21.1,9.8,2.5,1.2,0.3,0.1,0.451,0.419,0.808,3.5,0.099,SG,13.1,0.578,0.487,0.165,1.5,11.8,6.8,9.1,0.8,0.2,10.3,20.6,2.1,1.4,0.9,-1.9,-1.1,0.4,0.032
5,20,80,27.8,9.4,7.5,1.3,1.2,0.6,0.551,0.0,0.622,6.6,0.143,C,18.0,0.575,0.002,0.424,13.0,20.4,16.5,7.5,2.3,1.6,11.0,15.4,4.7,1.9,1.4,1.0,2.5,2.5,0.025
0,19,51,30.5,18.5,3.7,5.4,1.1,0.4,0.469,0.399,0.872,4.1,0.125,PG,21.4,0.566,0.245,0.262,3.1,11.2,7.0,36.5,1.8,1.0,16.1,28.7,3.4,0.6,4.9,-1.7,3.3,2.1,0.987
1,21,41,34.2,10.6,4.2,8.2,2.2,0.2,0.357,0.34,0.803,2.0,0.07,PG,14.6,0.476,0.242,0.404,1.6,11.9,6.7,37.4,3.3,0.4,22.2,18.7,0.5,1.5,-0.2,1.1,0.9,1.0,0.283
2,22,46,22.5,10.2,7.7,0.8,0.7,1.0,0.586,0.0,0.665,4.6,0.212,PF,21.9,0.618,0.0,0.531,16.5,22.9,19.8,5.5,1.7,3.6,12.4,18.7,3.2,1.3,2.3,1.0,3.4,1.4,0.215
3,20,64,24.0,7.9,5.1,1.1,1.3,0.4,0.493,0.376,0.773,5.5,0.171,SF,16.6,0.573,0.27,0.218,7.9,16.4,12.2,6.6,2.9,1.1,9.0,14.5,3.1,2.4,2.0,2.3,4.3,2.4,0.078
