,Age_x,G_x,MP_x,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS_x,WS/48_x,Pos,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,OBPM,DBPM,BPM,VORP,Share
10,28,82,28.4,6.0,6.4,3.0,1.4,1.8,0.602,0.0,0.506,6.8,0.14,PF,15.3,0.597,0.009,0.478,9.5,15.1,12.3,14.7,2.4,4.5,24.5,9.8,2.8,4.0,0.8,5.6,6.4,4.9,0.008
11,34,82,33.5,12.5,6.3,5.0,1.4,0.5,0.451,0.327,0.717,7.8,0.137,SF,16.4,0.533,0.306,0.259,5.1,16.2,11.0,23.7,2.3,1.1,17.8,19.6,3.4,4.4,2.0,2.2,4.2,4.3,0.008
12,33,80,35.5,18.5,4.5,2.8,1.1,0.8,0.464,0.37,0.782,9.6,0.162,SF,17.3,0.564,0.284,0.334,4.2,9.8,7.0,13.3,1.6,1.5,11.2,22.9,5.7,3.9,2.4,0.2,2.6,3.3,0.008
0,34,75,34.5,10.0,13.5,1.0,0.4,2.7,0.484,0.0,0.725,8.1,0.151,C,17.5,0.547,0.0,0.523,13.3,30.5,21.9,4.7,0.6,5.6,17.4,14.3,3.4,4.7,-1.7,3.2,1.4,2.2,0.39
1,34,75,34.5,10.0,13.5,1.0,0.4,2.7,0.484,0.0,0.725,8.1,0.151,C,16.5,0.528,0.0,0.435,12.1,33.0,22.5,5.0,0.6,5.7,17.9,13.4,1.5,3.0,-2.5,3.4,0.9,1.3,0.39
2,34,75,34.5,10.0,13.5,1.0,0.4,2.7,0.484,0.0,0.725,8.1,0.151,C,19.6,0.58,0.0,0.678,15.7,25.7,20.8,4.1,0.5,5.5,16.5,16.2,1.9,1.8,-0.2,2.7,2.5,1.0,0.39
3,24,81,39.5,22.0,11.4,5.0,1.4,1.8,0.477,0.288,0.764,11.8,0.176,PF,23.9,0.531,0.045,0.317,7.7,25.3,16.4,21.8,1.8,3.2,12.0,27.0,7.0,4.8,3.0,2.7,5.7,6.2,0.211
4,24,82,38.7,22.2,12.2,3.0,0.9,2.3,0.499,0.259,0.618,13.2,0.2,PF,23.8,0.536,0.019,0.471,9.7,25.1,17.8,15.3,1.2,4.2,12.5,28.7,6.2,7.1,1.8,3.6,5.4,5.9,0.114
5,30,81,36.3,12.3,4.4,3.6,2.3,0.6,0.395,0.376,0.897,8.7,0.141,SG,14.8,0.538,0.317,0.396,3.6,9.3,6.5,14.6,3.2,1.0,14.3,16.2,4.3,4.4,1.4,2.3,3.6,4.1,0.073
6,35,80,29.6,14.4,8.6,1.5,1.0,2.5,0.486,0.0,0.747,12.1,0.246,C,23.7,0.559,0.001,0.571,10.4,22.0,16.5,8.8,1.8,5.8,10.6,22.8,6.4,5.7,1.4,4.1,5.5,4.5,0.049
